Region,Governer,Location,X,Y,Terrain,Flora,Bell Tower,Type,unmarked
South,DePleur,Abandoned Jheel,,,Midlands,Quercus,,,
South,Noore,Aghori Ashram,,,Midlands,Mixed Forest,,Home,
North,,Altar of Kalinag,,,,,,,
North,,Anadekhi Ruins,,,,,,,
North,,Ananta Muna Shrine,,,,,,,
North,Yuma,Anjali's Bakery,,,,Larch,,,
South,Noore,Arjun's Still,458.1,540.8,Midlands,Mixed Forest,,,
South,Noore,Army Supply Flight 2412,,,Terai,Alder Forest,,,
South,DePleur,Army Supply Flight 2707,,,Midlands,Quercus,,,
South,Rebels,Army Supply Flight 2911,,,Terai,Alder Forest,,,
North,,Asru Cave,,,,,,,
North,,Asthi Den,,,,,,,
South,Noore,Avinash Primary School,,,Midlands,Mixed Forest,,,
South,Noore,Baghadur,,,Midlands,Mixed Forest,,Fortress,
South,Noore,Bagmati Camp,,,Midlands,Mixed Forest,,,
South,Rebels,Banapur,,,Terai,Alder Forest,,Town,
North,,Banashur Ki Sirhi,,,,,,,
South,DePleur,Banashur's Kshetra,,,Midlands,Quercus,,,
South,DePleur,Banashur's Pyres,,,Midlands,Quercus,,,
North,Yuma,Banashur's Refuge,,,Mountainous,Coniferous,,Cave,
South,DePleur,Banashur's Song,,,Midlands,Quercus,,,
North,,Banashur's Tranquility,,,,,,,
South,Noore,Banashur's Tree of Life,,,Midlands,Mixed Forest,,,
South,Noore,Bar,366,634,Midlands,Mixed Forest,,,unmarked
South,Noore,Bar and Brothel,372,651,Midlands,Mixed Forest,,,unmarked
South,Noore,Barnali's Textiles,445.8,686.9,Midlands,Mixed Forest,476 683,Outpost,
South,Noore,Bell Tower 231/575,,,Midlands,Mixed Forest,,Bell Tower,
South,Rebels,Bell Tower 272/444,,,Terai,Alder Forest,,Bell Tower,
South,DePleur,Bell Tower 331/476,,,Midlands,Quercus,,Bell Tower,
South,Noore,Bell Tower 342/580,,,Midlands,Mixed Forest,,Bell Tower,
South,Noore,Bell Tower 356/658,,,Midlands,Mixed Forest,,Bell Tower,
South,DePleur,Bell Tower 386/386,,,Midlands,Quercus,,Bell Tower,
South,DePleur,Bell Tower 451/490,,,Midlands,Quercus,,Bell Tower,
North,Yuma,Bell Tower 451/778,,,Mountainous,Coniferous,,Bell Tower,
South,DePleur,Bell Tower 467/331,,,Midlands,Quercus,,Bell Tower,
South,Noore,Bell Tower 470/567,,,Midlands,Mixed Forest,,Bell Tower,
South,Noore,Bell Tower 476/683,,,Midlands,Mixed Forest,476 683,Bell Tower,
North,Yuma,Bell Tower 559/785,,,Mountainous,Coniferous,,Bell Tower,
North,Yuma,Bell Tower 567/636,,,Mountainous,Larch,,Bell Tower,
North,Pagan Min,Bell Tower 656/806,,,Himalayan,Sedge Meadow,,Bell Tower,
North,Yuma,Bell Tower 670/643,,,Mountainous,Larch,,Bell Tower,
North,Pagan Min,Bell Tower 766/762,,,Himalayan,Sedge Meadow,,Bell Tower,
North,Pagan Min,Bell Tower 778/686,,,Himalayan,Sedge Meadow,,Bell Tower,
North,Yuma,Bhirabata Outpost,,,Mountainous,Coniferous,,Outpost,
South,Noore,Bhutan Ghat,,,Midlands,Mixed Forest,,,
South,Noore,Bombmaker’s House,246,553,Midlands,Mixed Forest,,,unmarked
North,Pagan Min,Border Observation Post,,,Himalayan,Sedge Meadow,,Outpost,
North,Yuma,Bride River Hamlet,,,,,,,
South,Noore,Bridge,353.7,531.5,Midlands,Mixed Forest,,,unmarked
South,Noore,Bridge,392.4,648.3,,Mixed Forest,,,unmarked
South,Noore,Bridge,429.5,629.4,,Mixed Forest,,,unmarked
South,Noore,Bridge,415,539.2,,Mixed Forest,,,unmarked
South,Noore,Bridge,389.6,546,,Mixed Forest,,,unmarked
South,Noore,Bunker,413,662,Midlands,Mixed Forest,476 683,Bunker,unmarked
South,Noore,Campfire below Hariyo Ghupa,305,508,Midlands,Mixed Forest,,,unmarked
North,,Cave of the Dead,,,,,,,
South,DePleur,Chal Jama Monastery,,,Midlands,Quercus,,,
South,DePleur,Chinjan Sherpa Camp,,,Midlands,Quercus,,,
South,DePleur,City of Pain,,,Midlands,Quercus,,,
South,Noore,Collapsed Ghupa,,,Midlands,Mixed Forest,,,
South,DePleur,Cragway Rest,,,Midlands,Quercus,,,
North,,Customs Warehousing,,,,,,,
South,Noore,Danger Dashed,,,Midlands,Mixed Forest,,,
South,Noore,Dead End,451.7,668.2,Midlands,Mixed Forest,476 683,,
North,Pagan Min,Dead Man's Triangle,,,,Sedge Meadow,,,
South,DePleur,Deepak's Millet Farm,,,Midlands,Quercus,,,
North,,Devata Re Cave,,,,,,,
North,Yuma,Devi Temple Ruins,,,,,,,
South,DePleur,Dhami Ashram,,,Midlands,Quercus,,,
North,Pagan Min,Dhumrapana Shrine,,,,Sedge Meadow,,,
South,Noore,Dhyangro Ashram,,,Midlands,Mixed Forest,,Ashram,
South,Noore,Divya's Hideout,,,Midlands,Mixed Forest,,,
South,Noore,Dochula Tunnel,442.2,626.1,Midlands,Mixed Forest,,,
North,,Dolpo Ruins,,,,,,,
North,,Drunk Kanak's Truck,,,,,,,
North,,Dubaki Cavern,,,,,,,
South,DePleur,Dzong Bridge,,,Midlands,Quercus,,,
South,Noore,Dzu-Teh Ruins,,,Midlands,Mixed Forest,,,
North,,Eagle's Nest,,,,,,,
South,DePleur,Eklo Beindu Summit,,,Midlands,Quercus,,Summit,
South,Rebels,Ettan's Shack,,,Terai,Alder Forest,,,
South,DePleur,Fahmida's House,,,Midlands,Quercus,,,
South,Noore,February 4th Murder,324,589,Midlands,Mixed Forest,,Home,unmarked
South,DePleur,Gandharva's Radio Station,,,Midlands,Quercus,,,
North,,Garma Palana Spring,,,,,,,
North,Pagan Min,Garma Springs,,,,Sedge Meadow,,,
South,Noore,Gas Station,426,633,Midlands,Mixed Forest,,,unmarked
North,,Gautami's Retreat,,,,,,,
South,Noore,Ghale Homestead,,,Midlands,Mixed Forest,,,
South,DePleur,Ghasa Dhalana Summit,,,Midlands,Quercus,,Summit,
North,Yuma,Ghumantu Sherpa Camp,,,,,,,
South,DePleur,Golden Path Camp,,,Midlands,Quercus,,,
South,DePleur,Golden Path Supply Cache,,,Midlands,Quercus,,,
North,Yuma,Gornak's Pass,,,,,,,
South,Noore,Gre Sikhara,,,Midlands,Mixed Forest,476 683,,
South,DePleur,Great Drought Chorten,,,Midlands,Quercus,,,
South,Noore,Hamlet,264,523,Midlands,Mixed Forest,,,unmarked
South,Noore,Hamlet ,458,636,Midlands,Mixed Forest,476 683,,unmarked
South,Noore,Hamlet with Shop,431,662,Midlands,Mixed Forest,476 683,,unmarked
South,DePleur,Hariyo Ghupa,,,Terai,Alder Forest,,,
South,Noore,Hariyo Mathi Summit,,,Midlands,Mixed Forest,,Summit,
North,Pagan Min,Hima Khoka Cave,,,,Sedge Meadow,,,
South,Noore,Homestead,240,610,Midlands,Mixed Forest,,,unmarked
South,Noore,Homestead,282,578,Midlands,Mixed Forest,,,unmarked
